day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,avg_rh
2023-01-01,61,26,43,25,75.74717
2023-01-02,54,41,52,36,90.79071
2023-01-03,52,34,51.1,24.1,75.91724
2023-01-04,48,30,26.1,19,56.44588
2023-01-05,48,21,24.1,17.1,64.28067
2023-01-06,51,16,27,14,64.68555
2023-01-07,40,26,25,17.1,58.772358
2023-01-08,51,17,27,14,68.1955
2023-01-09,60,23,34,19.9,68.663605
2023-01-10,58,22,33.1,21,70.56049
2023-01-11,54,24,35.1,21.9,72.01561
2023-01-12,37,27,30.9,19.9,74.97142
2023-01-13,33,16,21,12,74.96642
2023-01-14,49,16,28,12,67.38535
2023-01-15,59,34,48.9,27,64.201775
2023-01-16,60,29,50,26.1,63.279404
2023-01-17,46,23,33.1,21,80.80748
2023-01-18,40,37,37.9,30,85.758965
2023-01-19,40,23,37.9,21,80.23327
2023-01-20,46,23,30.9,21.9,77.89516
2023-01-21,37,22,34,19.9,89.28395
2023-01-22,35,22,32,19.9,87.06827
2023-01-23,44,16,30,12,81.14983
2023-01-24,38,20,32,18,86.25172
2023-01-25,35,21,32,12.9,81.01009
2023-01-26,31,12,21,8.1,74.353516
2023-01-27,52,24,34,25,65.58574
2023-01-28,56,20,35.1,14,68.0765
2023-01-29,25,12,12.9,-0.9,57.750797
2023-01-30,23,6,3,-2,53.373795
2023-01-31,27,5,6.1,-0.9,61.19313
2023-02-01,42,5,14,0,56.0434
2023-02-02,54,12,21.9,-0.9,56.581448
2023-02-03,37,8,18,-4,46.22318
2023-02-04,55,28,33.1,19.9,59.220257
2023-02-05,65,24,30.9,19.9,60.213703
2023-02-06,70,26,48.9,19.9,59.81171
2023-02-07,55,20,32,15.1,61.211037
2023-02-08,46,15,36,12,77.1431
2023-02-09,45,33,36,27,80.63729
2023-02-10,41,17,24.1,12,60.037807
2023-02-11,50,12,24.1,9,65.51319
2023-02-12,63,22,32,19,57.246277
2023-02-13,61,23,33.1,21,61.09383
2023-02-14,57,43,48.2,34,78.53398
2023-02-15,43,32,34,25,69.53965
2023-02-16,32,14,26.6,12,83.6203
2023-02-17,48,10,24.1,6.1,59.09674
2023-02-18,57,30,23,17.1,41.49102
2023-02-19,59,27,36,23,56.50393
2023-02-20,65,23,39,21.9,64.99231
2023-02-21,63,26,39.9,24.1,59.47253
2023-02-22,65,30,55.9,23,70.94315
2023-02-23,31,15,21.9,1.9,56.428623
2023-02-24,31,12,24.8,5,66.87805
2023-02-25,50,15,34,12,74.25993
2023-02-26,62,26,59,25,88.5062
2023-02-27,69,41,59,33.1,62.046238
2023-02-28,68,30,42.1,28,65.05033
2023-03-01,63,32,34,12.9,48.750744
2023-03-02,47,31,30,25,65.46089
2023-03-03,58,34,39,28.9,74.648
2023-03-04,62,28,43,26.1,67.349785
2023-03-05,75,42,48.9,30,56.98152
2023-03-06,63,39,46,30.9,64.593185
2023-03-07,51,38,39.9,28.9,69.350945
2023-03-08,46,43,43,39,88.93634
2023-03-09,46,38,39.9,28.9,81.07108
2023-03-10,41,29,28.9,26.1,71.137146
2023-03-11,43,33,39.9,28.9,85.44356
2023-03-12,48,27,34,19,62.86992
2023-03-13,38,21,19,16,60.975006
2023-03-14,51,14,25,10.9,62.832977
2023-03-15,66,33,39,23,51.801647
2023-03-16,62,29,53.1,21.9,71.79747
2023-03-17,46,22,30,15.1,64.14981
2023-03-18,33,16,15.1,6.1,54.949226
2023-03-19,48,10,15.1,5,47.513287
2023-03-20,64,32,28.9,14,38.956284
2023-03-21,48,42,46,28.9,80.2687
2023-03-22,60,47,53.1,46,90.55573
2023-03-23,52,38,50,34,78.550224
2023-03-24,57,38,41,30,69.75531
2023-03-25,64,38,45,36,71.56131
2023-03-26,43,30,43,28,77.63778
2023-03-27,55,25,36,21.9,66.88822
2023-03-28,54,30,35.6,21.9,66.45284
2023-03-29,62,26,34,24.1,58.34641
2023-03-30,74,37,55,30,61.852154
2023-03-31,81,41,63,26.1,52.9301
2023-04-01,61,34,27,19,43.6061
2023-04-02,81,34,44.1,26.1,44.413773
2023-04-03,77,51,54,36,60.30005
2023-04-04,87,42,64.9,34,57.254745
2023-04-05,55,34,39,21,53.258633
2023-04-06,62,22,28,19,48.984814
2023-04-07,70,28,33.1,21,47.872665
2023-04-08,72,31,28.9,17.1,41.30705
2023-04-09,76,32,45,26.1,48.9588
2023-04-10,73,44,55,41,69.1689
2023-04-11,81,39,53.1,37.9,64.84182
2023-04-12,81,57,48,42.1,45.174305
2023-04-13,83,47,48.9,42.1,50.357464
2023-04-14,85,49,57,44.1,57.310772
2023-04-15,58,44,55.9,37,81.04912
2023-04-16,63,39,37.9,17.1,45.225933
2023-04-17,73,31,37,19.9,38.35661
2023-04-18,85,49,57,35.1,44.263084
2023-04-19,81,61,62.1,51.1,61.82347
2023-04-20,70,40,62.1,39.9,72.14807
2023-04-21,61,37,41,28.9,59.43582
2023-04-22,53,30,30,24.1,57.630665
2023-04-23,60,25,34,23,59.64126
2023-04-24,69,32,39,28,51.68548
2023-04-25,69,37,43,35.1,59.01515
2023-04-26,69,40,44.1,36,58.991634
2023-04-27,70,50,50,42.1,58.688232
2023-04-28,68,51,54,48,77.95777
2023-04-29,78,39,46.9,32,56.3003
2023-04-30,64,39,37,24.1,49.63101
2023-05-01,67,35,32,24.1,44.51955
2023-05-02,69,36,32,25,47.19826
2023-05-03,75,32,42.1,27,50.10815
2023-05-04,69,43,55,39,71.58154
2023-05-05,78,56,62.1,53.6,77.86476
2023-05-06,95,64,66.9,46.9,62.233555
2023-05-07,91,63,68,57,60.551884
2023-05-08,86,56,68,44.1,58.558839999999996
2023-05-09,83,60,62.1,55,69.730354
2023-05-10,85,59,66.9,57.9,74.31407
2023-05-11,77,62,66.9,59,83.82807
2023-05-12,86,65,70,62.1,78.319626
2023-05-13,85,64,68,57.9,64.189926
2023-05-14,86,61,69.1,59,73.54363
2023-05-15,70,59,66.9,57,90.64157
2023-05-16,69,51,57.9,53.1,85.50429
2023-05-17,84,50,60.1,48,68.045425
2023-05-18,84,54,62.1,53.1,70.62293
2023-05-19,67,45,62.1,46,81.39296
2023-05-20,72,43,51.1,41,65.99262
2023-05-21,77,43,54,42.1,69.170494
2023-05-22,80,46,55.9,46,66.33583
2023-05-23,84,50,57,46.9,62.71488
2023-05-24,87,49,61,48,67.62064
2023-05-25,87,56,63,52,62.38061
2023-05-26,82,54,55,37.9,42.406536
2023-05-27,82,44,46,39,50.10003
2023-05-28,86,46,55,43,56.729202
2023-05-29,88,59,63,52,60.27516
2023-05-30,88,59,69.1,57,76.02691
2023-05-31,85,65,71.1,62.1,81.33056
2023-06-01,88,66,69.1,64,72.87616
2023-06-02,90,64,69.1,62.1,71.35632
2023-06-03,90,63,68,57,71.16521
2023-06-04,91,58,64.9,55.9,64.02414
2023-06-05,90,61,66.9,59,72.16654
2023-06-06,90,59,69.1,57.9,70.784744
2023-06-07,92,61,73.9,59,69.394844
2023-06-08,84,66,69.1,60.1,73.619225
2023-06-09,85,60,62.1,53.1,59.000393
2023-06-10,74,65,66.9,59,86.5238
2023-06-11,75,65,66.2,62.1,74.979416
2023-06-12,77,64.9,60.1,45,59.49202
2023-06-13,82,60,61,48.9,63.7453
2023-06-14,86,60,64.9,55,66.70532
2023-06-15,88,55,64.9,53.1,68.30791
2023-06-16,90,59,68,57.9,69.229744
2023-06-17,90,61,68,60.1,71.000786
2023-06-18,83,63,68,60.8,79.811195
2023-06-19,92,59,70,57.9,69.20068
2023-06-20,90,64,66.9,61,66.411316
2023-06-21,91,62,68,60.1,66.45479
2023-06-22,90,66,68,60.1,65.45125
2023-06-23,91,62,70,61,68.541756
2023-06-24,94,68,73,66.9,69.491325
2023-06-25,89,59,66.9,52,54.992405
2023-06-26,90,54,63,51.1,61.347195
2023-06-27,88,56,63,55,65.85814
2023-06-28,99,70,79,60.8,62.96742
