day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,avg_rh
2023-01-01,35,22,28,18,83.36661
2023-01-02,27,22,21.9,19.4,87.417946
2023-01-03,31,24,28.9,19.9,87.52398
2023-01-04,33,30,30.9,27,91.89084
2023-01-05,30,18,27,15.1,83.864044
2023-01-06,19,5,14,1,82.04975
2023-01-07,21,0,10.9,-5.1,77.91475
2023-01-08,25,0,15.1,0,78.70933
2023-01-09,32,8,27,6.1,84.09933
2023-01-10,28,19,25,17.1,88.37199
2023-01-11,34,26,28.9,23,87.59341
2023-01-12,32,19,28,14,80.095055
2023-01-13,20,13,16,10.9,84.98382
2023-01-14,31,13,24.1,10.4,80.09024
2023-01-15,37,29,28.9,23,75.559265
2023-01-16,37,32,33.8,28.9,90.179665
2023-01-17,35,31,30.9,28,88.60542
2023-01-18,33,28,28,25,82.70609
2023-01-19,32,27,28.9,21,86.315956
2023-01-20,27,18,21.9,15.1,81.944626
2023-01-21,24,17,21.9,16,92.486694
2023-01-22,21,15,19.9,14,92.31557
2023-01-23,31,11,27,8.1,86.76608
2023-01-24,29,14,25,12,86.39285
2023-01-25,28,16,24.1,9,83.391304
2023-01-26,16,2,10,-2,69.62541
2023-01-27,33,6,30,-0.9,74.79442
2023-01-28,7,2,-0.9,-9,62.168083
2023-01-29,6,-5,-8,-14.1,59.346455
2023-01-30,2,-8,-9,-15,61.87989
2023-01-31,10,-8,-2,-15,60.597378
2023-02-01,21,1,6.1,-6,63.011665
2023-02-02,15,-9,8.1,-20,57.68086
2023-02-03,4,-13,-7.1,-22,56.415047
2023-02-04,28,2,18,-6,67.6083
2023-02-05,31,14,18,12,72.69928
2023-02-06,36,14,33.1,10.9,80.1765
2023-02-07,35,27,30.9,19.9,71.71733
2023-02-08,45,21,28,18,72.30963
2023-02-09,38,19,28.9,3.9,71.08149
2023-02-10,29,8,17.1,-0.9,58.974403
2023-02-11,39,28,24.1,17.1,60.492157
2023-02-12,43,20,26.1,18,74.37254
2023-02-13,43,24,28.9,19.9,69.5414
2023-02-14,43,35,37.9,27,80.174904
2023-02-15,38,16,35.6,8.1,76.4365
2023-02-16,20,12,8.1,0,57.93097
2023-02-17,29,6,19.9,0,61.944496
2023-02-18,36,22,27,17.1,75.85422
2023-02-19,35,18,26.1,12,76.59576
2023-02-20,35,10,28,1.9,77.00708
2023-02-21,15,3,10.9,-2.9,75.60014
2023-02-22,21,14,17.6,8.1,78.46266
2023-02-23,18,0,12.9,-2.9,75.79185
2023-02-24,11,-8,3,-11.9,72.461105
2023-02-25,26,3,15.1,0,72.37631
2023-02-26,33,5,19,1,56.497177
2023-02-27,34,28,30.9,21.2,83.77834
2023-02-28,40,20,28,15.1,64.51098
2023-03-01,38,24,32,17.1,83.141045
2023-03-02,28,17,21.9,12.2,78.75681
2023-03-03,42,22,28,21,80.02131
2023-03-04,38,23,25,19.9,75.32184
